gene	cluster
CDADC1	1
DDHD1	1
IFFO1	1
ATP5MC2	2
G6PC	2
KLF15	2
SNX13	2
TAP1	2
TDP2	2
PHYHIPL	3
STARD7	3
TMCO6	3
ADAP2	4
MICA	4
NCR3LG1	4
PGRMC2	4
RYK	4
CPE	5
SERPINB11	5
ITM2C	6
MVB12B	6
FGD1	7
MICALL2	7
PITPNM1	7
TAP2	7
DTWD2	8
FAT3	8
MFAP3	8
PPWD1	9
PTBP3	9
ADD2	10
ARHGAP42	10
C1orf52	10
DCAF16	10
DCXR	10
DEF6	10
FDX2	10
KIF20B	10
LHX4	10
MSH3	11
OTUD7B	11
SNX8	11
BLOC1S1	12
IDI2	12
LMX1B	12
PBX2	12
AATK	13
ABHD16A	13
AOC1	13
ATP5MC3	13
CHCHD6	13
CLIC1	13
CPT1A	13
CYB561A3	13
DNAJC1	13
ERLIN1	13
FA2H	13
HACD3	13
HM13	13
INVS	13
NID2	13
NTF4	13
PAEP	13
PILRA	13
PILRB	13
RNF5	13
SEC22A	13
SLC25A12	13
ZFP91	13
ZNF302	13
KLF3	14
LHX8	14
BAHCC1	15
COMMD1	15
AKT1S1	16
FAM114A1	16
METTL5	16
SEC24D	16
THUMPD3	16
ZNF501	16
MRPL19	17
MRPL57	17
MRPS30	17
FOLR1	18
IRAK3	18
BCKDK	19
METTL21C	19
NR5A2	19
ACAA2	20
CSRP1	20
PREPL	20
UNKL	20
ARHGAP26	21
C2CD2	21
TULP1	21
B3GALT2	22
GNPTG	22
LRP5	22
ST3GAL5	22
TMEM155	22
TMEM259	22
ERCC1	23
XPA	23
DNAAF3	24
MON1A	24
SP6	24
ANP32E	25
PAPPA	25
FADS1	26
MON2	26
PAAF1	26
FLACC1	27
SULT1B1	27
SULT1E1	27
SULT2B1	27
ATG12	28
BCL2L14	28
TECPR1	28
TRAPPC12	28
TRAPPC2	28
TRAPPC6B	28
TRAPPC8	28
AKAP1	29
FARP1	29
TNNI3	29
CACTIN	30
G2E3	30
LST1	30
CIAO1	31
CIAO2A	31
MMS19	31
MPPED1	31
NR2F6	31
PHKA2	31
PHKB	31
UCK1	31
UCKL1	31
ARHGAP17	32
CHMP7	32
COLEC10	33
PTX3	33
AEN	34
ZNF202	34
ZNF317	34
ZNF473	34
ZNF792	34
ZSCAN12	34
ARHGAP19	35
RASA3	35
ANKHD1	36
MYO3A	36
MYZAP	36
OSM	36
WDR89	36
ZNF410	36
ALDH3A1	37
PIGR	37
SRF	37
UCP2	37
FOXI1	38
PDS5A	38
PDS5B	38
TRIM33	38
CYP51A1	39
HTR3E	39
PDZD8	39
RAB6A	39
TREML2	39
ARL6IP6	40
NAA50	40
ACP2	41
TRHR	41
GTF3C6	42
INIP	42
FRAT1	43
GPRASP2	43
GSK3A	43
KCNK5	43
DHX40	44
IFIT2	44
CLIP4	45
MYH3	45
PEG10	45
SNUPN	45
TNNI1	45
TNNT3	45
GLYAT	46
GPRASP1	46
DEFB127	47
TFEC	47
FIG4	48
PIKFYVE	48
FAM151B	49
IRF5	49
TRIM15	49
C18orf25	50
VSX2	50
PPARGC1B	51
ZNF513	51
NXPH3	52
PALD1	52
C17orf80	53
CD3E	53
GHDC	53
GP1BB	53
TM2D3	53
MSTO1	54
NR1H3	54
TMEM161A	54
AIPL1	55
ATAD2	55
BEND3	55
BLM	55
CASP8	55
CFLAR	55
GREB1	55
HMMR	55
IL13RA2	55
LSP1	55
MORN4	55
RGS16	55
SCGB2A2	55
SPTBN2	55
ST14	55
VPS33A	55
VPS45	55
WDR24	55
KIF20A	56
TSPYL1	56
JAKMIP2	57
KIF9	57
DNASE1L2	58
NOSIP	58
PHF13	58
SLC25A21	58
NCEH1	59
TMEM38A	59
HOXC11	60
SOX8	60
PPP1R10	61
RSPH9	61
COL4A2	62
ITLN2	62
SEMG1	62
HOPX	63
ING4	63
MSX1	63
TLX3	63
AMMECR1	64
CLP1	64
HMCN1	64
CSGALNACT2	65
SLC8A3	65
MLLT10	66
ZNF526	66
C7orf26	67
INTS8	67
ITGAV	68
KRT14	68
KRT3	68
E2F8	69
TTC33	69
B4GALT7	70
TMEM192	70
CCNQ	71
FBXO31	71
AKAP14	72
EFCAB7	72
ROPN1L	72
SPA17	72
BST2	73
HAGH	73
HARS2	73
LACTB2	73
NUP210	73
BCL10	74
IL15RA	74
CAPNS2	75
LIX1L	75
CCR1	76
GNG10	76
PAG1	76
NT5DC1	77
OTUD5	77
PKLR	77
USPL1	77
IL31RA	78
RET	78
TXNL4A	78
FOSB	79
FOSL1	79
WFDC1	79
ACAP2	80
MBOAT7	80
CSRNP1	81
FSBP	81
TCEANC	81
PLP1	82
PTPRN	82
CDYL2	83
MRPS12	83
ZNF616	83
ZSCAN5A	83
SYT1	84
SYT5	84
ARID3A	85
DCP1A	85
DHFR2	85
ERF	85
MARF1	85
PATL1	85
PPP1R35	85
SERPINA7	85
TBX3	85
ATF6B	86
CANT1	86
MYO9B	86
RBM33	86
SORCS3	86
RCOR1	87
TFPT	87
CYB5A	88
FAHD1	88
OR10H3	88
PTTG1	89
TTLL5	89
CDK2AP2	90
MBTPS1	90
CEP41	91
MVB12A	91
NOL9	92
TEX10	92
ABCB4	93
TESK1	93
BPHL	94
SETD3	94
PRPSAP1	95
SLC27A4	95
TMBIM4	95
GRAMD1A	96
TLR7	96
TAF1B	97
TAF1C	97
AK9	98
PEA15	98
DAD1	99
F3	99
RAB13	99
CCDC68	100
FBP1	100
FBP2	100
PCNX4	100
ARID5A	101
KRTAP12-4	101
ANKZF1	102
NAA35	102
DCAKD	103
HCCS	103
NSDHL	103
SUPT20H	103
TADA1	103
SETD5	104
SPAG16	104
MORC1	105
MORC2	105
IFT43	106
NDUFA3	106
ZMYND10	106
HNF4A	107
PROX1	107
AIP	108
NADSYN1	108
TDGF1	108
ALDH6A1	109
CD6	109
CMSS1	109
